"soort","aanwezigheid","lengtegraad","breedtegraad","provincie"
"Ichthyosaura alpestris",1,6.15,52.85,"Drenthe"
"Ichthyosaura alpestris",1,5.8,51.7,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.85,51.8,"Gelderland"
"Ichthyosaura alpestris",1,5.45,51.35,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.95,51.45,"Limburg"
"Ichthyosaura alpestris",1,4.35,51.45,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.95,52.2,"Gelderland"
"Ichthyosaura alpestris",1,5.85,50.9,"Limburg"
"Ichthyosaura alpestris",1,5.85,51.75,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.85,51.7,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.85,51.7,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.85,51.7,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.35,51.4,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.8,51.7,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.48563,51.606379,"Noord-Brabant"
"Ichthyosaura alpestris",1,6,51.15,"Limburg"
"Ichthyosaura alpestris",1,6,51.15,"Limburg"
"Ichthyosaura alpestris",1,5.65,50.8,"Limburg"
"Ichthyosaura alpestris",1,4.65,51.8,"Zuid-Holland"
"Ichthyosaura alpestris",1,5.9,51.7,"Limburg"
"Ichthyosaura alpestris",1,5.75,52.25,"Gelderland"
"Ichthyosaura alpestris",1,5.85,50.8,"Limburg"
"Ichthyosaura alpestris",1,4.65,51.45,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.65,50.85,"Limburg"
"Ichthyosaura alpestris",1,5.95,51.55,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.6,51.55,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.55,51.2,"Limburg"
"Ichthyosaura alpestris",1,5.7,50.75,"Limburg"
"Ichthyosaura alpestris",1,5.75,50.9,"Limburg"
"Ichthyosaura alpestris",1,5.75,50.8,"Limburg"
"Ichthyosaura alpestris",1,5,51.45,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.9,51.55,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.85,51.8,"Gelderland"
"Ichthyosaura alpestris",1,5.8,50.85,"Limburg"
"Ichthyosaura alpestris",1,5.75,50.85,"Limburg"
"Ichthyosaura alpestris",1,5.8,50.85,"Limburg"
"Ichthyosaura alpestris",1,5.75,50.8,"Limburg"
"Ichthyosaura alpestris",1,5.95,51.55,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.45,51.4,"Noord-Brabant"
"Ichthyosaura alpestris",1,4.85,51.6,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.85,51.8,"Gelderland"
"Ichthyosaura alpestris",1,5.75,50.9,"Limburg"
"Ichthyosaura alpestris",1,5.75,50.9,"Limburg"
"Ichthyosaura alpestris",1,5.75,50.9,"Limburg"
"Ichthyosaura alpestris",1,5.75,50.9,"Limburg"
"Ichthyosaura alpestris",1,5.75,50.9,"Limburg"
"Ichthyosaura alpestris",1,5.7,50.9,"Limburg"
"Ichthyosaura alpestris",1,5.7,50.9,"Limburg"
"Ichthyosaura alpestris",1,5.75,50.9,"Limburg"
"Ichthyosaura alpestris",1,4.9,51.4,NA
"Ichthyosaura alpestris",1,5.65,50.8,"Limburg"
"Ichthyosaura alpestris",1,5.7,50.8,"Limburg"
"Ichthyosaura alpestris",1,5.65,50.8,"Limburg"
"Ichthyosaura alpestris",1,5.75,50.8,"Limburg"
"Ichthyosaura alpestris",1,5.75,50.8,"Limburg"
"Ichthyosaura alpestris",1,5.35,51.45,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.35,51.4,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.35,51.45,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.35,51.4,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.85,51.7,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.85,51.7,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.85,51.8,"Gelderland"
"Ichthyosaura alpestris",1,5.75,50.9,"Limburg"
"Ichthyosaura alpestris",1,5.75,50.9,"Limburg"
"Ichthyosaura alpestris",1,5.75,50.9,"Limburg"
"Ichthyosaura alpestris",1,5.75,50.9,"Limburg"
"Ichthyosaura alpestris",1,5.75,50.8,"Limburg"
"Ichthyosaura alpestris",1,5.75,50.8,"Limburg"
"Ichthyosaura alpestris",1,5.7,51.35,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.65,50.85,"Limburg"
"Ichthyosaura alpestris",1,5.65,50.85,"Limburg"
"Ichthyosaura alpestris",1,5.65,50.85,"Limburg"
"Ichthyosaura alpestris",1,5.65,50.85,"Limburg"
"Ichthyosaura alpestris",1,5.65,50.85,"Limburg"
"Ichthyosaura alpestris",1,4.9,51.4,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.85,51.8,"Gelderland"
"Ichthyosaura alpestris",1,5.8,51.5,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.95,50.85,"Limburg"
"Ichthyosaura alpestris",1,5.75,50.85,"Limburg"
"Ichthyosaura alpestris",1,5.75,50.85,"Limburg"
"Ichthyosaura alpestris",1,5.75,50.85,"Limburg"
"Ichthyosaura alpestris",1,5.75,50.85,"Limburg"
"Ichthyosaura alpestris",1,5.8,50.85,"Limburg"
"Ichthyosaura alpestris",1,5.75,50.85,"Limburg"
"Ichthyosaura alpestris",1,5.75,50.85,"Limburg"
"Ichthyosaura alpestris",1,5.75,50.85,"Limburg"
"Ichthyosaura alpestris",1,5,51.45,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.35,51.45,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.15,51.65,"Noord-Brabant"
"Ichthyosaura alpestris",1,3.6,51.45,"Zeeland"
"Ichthyosaura alpestris",1,5.85,51.8,"Gelderland"
"Ichthyosaura alpestris",1,4.9,51.4,NA
"Ichthyosaura alpestris",1,5.9,51.95,"Gelderland"
"Ichthyosaura alpestris",1,5.9,51.7,"Limburg"
"Ichthyosaura alpestris",1,3.55,51.45,"Zeeland"
"Ichthyosaura alpestris",1,3.55,51.45,"Zeeland"
"Ichthyosaura alpestris",1,4.85,51.4,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.9,51.55,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.95,51.55,"Noord-Brabant"
"Ichthyosaura alpestris",1,3.6,51.45,"Zeeland"
"Ichthyosaura alpestris",1,5.85,51.7,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.85,51.7,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.85,51.7,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.85,51.7,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.85,51.8,"Gelderland"
"Ichthyosaura alpestris",1,5.8,51.95,"Gelderland"
"Ichthyosaura alpestris",1,5.9,51.15,"Limburg"
"Ichthyosaura alpestris",1,5.75,50.9,"Limburg"
"Ichthyosaura alpestris",1,6.15,51.5,"Limburg"
"Ichthyosaura alpestris",1,3.55,51.45,"Zeeland"
"Ichthyosaura alpestris",1,4.55,51.45,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.85,51.7,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.85,51.7,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.85,50.8,"Limburg"
"Ichthyosaura alpestris",1,5.85,51.7,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.85,51.7,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.85,51.7,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.85,51.7,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.85,51.7,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.85,51.7,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.85,51.7,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.85,51.7,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.85,51.7,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.85,51.7,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.85,51.7,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.85,51.7,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.85,51.7,"Noord-Brabant"
"Ichthyosaura alpestris",1,6.15,51.45,"Limburg"
"Ichthyosaura alpestris",1,5.85,51.7,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.1,51.35,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.55,51.7,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.9,50.85,"Limburg"
"Ichthyosaura alpestris",1,5.9,50.85,"Limburg"
"Ichthyosaura alpestris",1,5.8,51.95,"Gelderland"
"Ichthyosaura alpestris",1,5.7,50.85,"Limburg"
"Ichthyosaura alpestris",1,5.45,51.4,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.45,51.4,"Noord-Brabant"
"Ichthyosaura alpestris",1,4.8,51.6,"Noord-Brabant"
